"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/position[3]_x","/joint_states/position[3]_y"
-494261.843,0,-494261.843,0,-494261.8764,-0.006001052856,
-494261.8097,0,-494261.8097,0,-494261.843,-0.006928910255,
-494261.7764,0,-494261.7764,0,-494261.8097,-0.004764009476,
-494261.743,0,-494261.743,0,-494261.7764,-0.004454823494,
-494261.7097,0,-494261.7097,0,-494261.743,-0.004042325974,
-494261.6764,0,-494261.6764,0,-494261.7097,-0.005176357269,
-494261.643,0,-494261.643,0,-494261.6764,-0.005176357269,
-494261.6097,0,-494261.6097,0,-494261.643,-0.004764009476,
-494261.5763,0,-494261.5763,0,-494261.6097,-0.006001052856,
-494261.543,0,-494261.543,0,-494261.5763,-0.00641340065,
-494261.5097,0,-494261.5097,0,-494261.543,-0.006207226753,
-494261.4763,0,-494261.4763,0,-494261.5097,-0.004557835579,
-494261.443,0,-494261.443,0,-494261.4763,-0.00682589817,
-494261.4097,0,-494261.4097,0,-494261.443,-0.006310388565,
-494261.3763,0,-494261.3763,0,-494261.4097,-0.006207226753,
-494261.343,0,-494261.343,0,-494261.3763,-0.00641340065,
-494261.3097,0,-494261.3097,0,-494261.343,-0.00579487896,
-494261.2764,0,-494261.2764,0,-494261.3097,-0.00579487896,
-494261.243,0,-494261.243,0,-494261.2764,-0.006207226753,
-494261.2097,0,-494261.2097,0,-494261.243,-0.00424849987,
-494261.1763,0,-494261.1763,0,-494261.2097,-0.004557835579,
-494261.143,0,-494261.143,0,-494261.1763,-0.004145487785,
-494261.1097,0,-494261.1097,0,-494261.143,-0.004660997391,
-494261.0764,0,-494261.0764,0,-494261.1097,-0.004145487785,
-494261.043,0,-494261.043,0,-494261.0764,-0.005691866875,
-494261.0097,0,-494261.0097,0,-494261.043,-0.005485692978,
-494260.9764,0,-494260.9764,0,-494261.0097,-0.00579487896,
-494260.943,0,-494260.943,0,-494260.9764,-0.006516562462,
-494260.9097,0,-494260.9097,0,-494260.943,-0.005898040771,
-494260.8763,0,-494260.8763,0,-494260.9097,-0.004454823494,
-494260.843,0,-494260.843,0,-494260.8763,-0.006207226753,
-494260.8097,0,-494260.8097,0,-494260.843,-0.004764009476,
-494260.7763,0,-494260.7763,0,-494260.8097,-0.004351661682,
-494260.743,0,-494260.743,0,-494260.7763,-0.005073345184,
-494260.7097,0,-494260.7097,0,-494260.743,-0.004145487785,
-494260.6763,0,-494260.6763,0,-494260.7097,-0.005588705063,
-494260.643,0,-494260.643,0,-494260.6763,-0.006001052856,
-494260.6097,0,-494260.6097,0,-494260.643,-0.006310388565,
-494260.5764,0,-494260.5764,0,-494260.6097,-0.00579487896,
-494260.543,0,-494260.543,0,-494260.5764,-0.005691866875,
-494260.5097,0,-494260.5097,0,-494260.543,-0.004970183372,
-494260.4763,0,-494260.4763,0,-494260.5097,-0.004557835579,
-494260.443,0,-494260.443,0,-494260.4763,-0.005382531166,
-494260.4097,0,-494260.4097,0,-494260.443,-0.005176357269,
-494260.3764,0,-494260.3764,0,-494260.4097,-0.004970183372,
-494260.343,0,-494260.343,0,-494260.3764,-0.005176357269,
-494260.3097,0,-494260.3097,0,-494260.343,-0.004042325974,
-494260.2763,0,-494260.2763,0,-494260.3097,-0.005279519081,
-494260.243,0,-494260.243,0,-494260.2763,-0.006722736359,
